species,region,range
Clusia cuneifolia,b.5.0,0
Clusia cuneifolia,c.0.-5,1300
Clusia cuneifolia,d.-5.-10,N/A
Clusia cuneifolia,e.-10.-15,N/A
Clusia cuneifolia,f.-15.-20,N/A
Clusia cuneifolia,g.-20.-25,N/A
Clusia decussata,a.10.5,2200
Clusia decussata,b.5.0,1700
Clusia decussata,c.0.-5,900
Clusia decussata,d.-5.-10,0
Clusia decussata,e.-10.-15,0
Clusia decussata,f.-15.-20,N/A
Clusia decussata,g.-20.-25,N/A
Clusia dixonii,a.10.5,900
Clusia dixonii,b.5.0,1400
Clusia dixonii,c.0.-5,900
Clusia dixonii,d.-5.-10,N/A
Clusia dixonii,e.-10.-15,N/A
Clusia dixonii,f.-15.-20,N/A
Clusia dixonii,g.-20.-25,N/A
Clusia ducu,a.10.5,600
Clusia ducu,b.5.0,1900
Clusia ducu,c.0.-5,1300
Clusia ducu,d.-5.-10,700
Clusia ducu,e.-10.-15,800
Clusia ducu,f.-15.-20,1000
Clusia ducu,g.-20.-25,N/A
Clusia ducuoides,a.10.5,1500
Clusia ducuoides,b.5.0,2000
Clusia ducuoides,c.0.-5,2300
Clusia ducuoides,d.-5.-10,1300
Clusia ducuoides,e.-10.-15,1000
Clusia ducuoides,f.-15.-20,0
Clusia ducuoides,g.-20.-25,N/A
Clusia elliptica,a.10.5,2300
Clusia elliptica,b.5.0,400
Clusia elliptica,c.0.-5,1300
Clusia elliptica,d.-5.-10,1500
Clusia elliptica,e.-10.-15,1500
Clusia elliptica,f.-15.-20,1300
Clusia elliptica,g.-20.-25,N/A
Clusia flavida,a.10.5,1900
Clusia flavida,b.5.0,700
Clusia flavida,c.0.-5,2000
Clusia flavida,d.-5.-10,1500
Clusia flavida,e.-10.-15,1200
Clusia flavida,f.-15.-20,300
Clusia flavida,g.-20.-25,N/A
Clusia hammeliana,a.10.5,1200
Clusia hammeliana,b.5.0,1300
Clusia hammeliana,c.0.-5,1200
Clusia hammeliana,d.-5.-10,500
Clusia hammeliana,e.-10.-15,1400
Clusia hammeliana,f.-15.-20,400
Clusia hammeliana,g.-20.-25,N/A
Clusia haughtii,a.10.5,1200
Clusia haughtii,b.5.0,1500
Clusia haughtii,c.0.-5,600
Clusia haughtii,d.-5.-10,300
Clusia haughtii,e.-10.-15,600
Clusia haughtii,f.-15.-20,1100
Clusia haughtii,g.-20.-25,N/A
Clusia hydrogera,a.10.5,800
Clusia hydrogera,b.5.0,800
Clusia hydrogera,c.0.-5,1200
Clusia hydrogera,d.-5.-10,N/A
Clusia hydrogera,e.-10.-15,N/A
Clusia hydrogera,f.-15.-20,N/A
Clusia hydrogera,g.-20.-25,N/A
Clusia lineata,a.10.5,2100
Clusia lineata,b.5.0,2100
Clusia lineata,c.0.-5,1900
Clusia lineata,d.-5.-10,700
Clusia lineata,e.-10.-15,0
Clusia lineata,f.-15.-20,N/A
Clusia lineata,g.-20.-25,N/A
Clusia minor,a.10.5,1900
Clusia minor,b.5.0,1900
Clusia minor,c.0.-5,1300
Clusia minor,d.-5.-10,2000
Clusia minor,e.-10.-15,900
Clusia minor,f.-15.-20,0
Clusia minor,g.-20.-25,N/A
Clusia mocoensis,a.10.5,1700
Clusia mocoensis,b.5.0,1800
Clusia mocoensis,c.0.-5,1200
Clusia mocoensis,d.-5.-10,N/A
Clusia mocoensis,e.-10.-15,N/A
Clusia mocoensis,f.-15.-20,N/A
Clusia mocoensis,g.-20.-25,N/A
Clusia multiflora,a.10.5,2400
Clusia multiflora,b.5.0,2800
Clusia multiflora,c.0.-5,2400
Clusia multiflora,d.-5.-10,800
Clusia multiflora,e.-10.-15,2600
Clusia multiflora,f.-15.-20,1600
Clusia multiflora,g.-20.-25,N/A
Clusia octandra,a.10.5,400
Clusia octandra,b.5.0,1300
Clusia octandra,c.0.-5,1500
Clusia octandra,d.-5.-10,700
Clusia octandra,e.-10.-15,0
Clusia octandra,f.-15.-20,N/A
Clusia octandra,g.-20.-25,N/A
Clusia palmicida,a.10.5,1300
Clusia palmicida,b.5.0,900
Clusia palmicida,c.0.-5,0
Clusia palmicida,d.-5.-10,0
Clusia palmicida,e.-10.-15,N/A
Clusia palmicida,f.-15.-20,N/A
Clusia palmicida,g.-20.-25,N/A
Clusia penduliflora,a.10.5,500
Clusia penduliflora,b.5.0,N/A
Clusia penduliflora,c.0.-5,1500
Clusia penduliflora,d.-5.-10,0
Clusia penduliflora,e.-10.-15,0
Clusia penduliflora,f.-15.-20,1000
Clusia penduliflora,g.-20.-25,N/A
Clusia schomburgkiana,a.10.5,2100
Clusia schomburgkiana,b.5.0,2600
Clusia schomburgkiana,c.0.-5,0
