species,min_elevation,max_elevation,range
Miconia lehmannii,2100,3100,1000
Miconia ligustrina,900,1500,600
Miconia lonchophylla,800,2000,1200
Miconia longifolia,0,1700,1700
Miconia matthaei,0,1300,1300
Miconia minutiflora,1300,1600,300
Miconia mirabilis,0,500,500
Miconia multiplinervia,0,1300,1300
Miconia myriantha,0,600,600
Miconia myrtillifolia,900,2100,1200
Miconia notabilis,0,1000,1000
Miconia ochracea,0,2800,2800
Miconia orcheotoma,100,200,100
Miconia plena,600,600,0
Miconia poeppigii,200,1400,1200
Miconia prasina,800,3400,2600
Miconia pterocaulon,0,1200,1200
Miconia punctata,1800,2000,200
Miconia pustulata,0,1200,1200
Miconia quintuplinervia,700,700,0
Miconia reducens,0,1900,1900
Miconia resima,900,2300,1400
Miconia rupticalyx,0,300,300
Miconia sandemanii,1000,1000,0
Miconia serrulata,300,1700,1400
Miconia smaragdina,1300,2100,800
Miconia spicellata,700,1200,500
Miconia splendens,700,3700,3000
Miconia superposita,0,400,400
Miconia ternatifolia,0,2200,2200
Miconia theizans,1300,3300,2000
Miconia tinifolia,1200,1500,300
Miconia tonduzii,0,0,0
Miconia trinervia,0,1700,1700
Miconia voronovii,0,0,0
Miconia wurdackii,800,1100,300
Micropholis egensis,0,1000,1000
Micropholis guyanensis,900,1800,900
Micropholis melinoniana,0,900,900
Micropholis venulosa,800,1600,800
Minquartia guianensis,600,1300,700
Mollinedia killipii,0,1700,1700
Mollinedia lanceolata,0,2400,2400
Mollinedia minutiflora,0,0,0
Mollinedia ovata,600,2600,2000
Mollinedia repanda,0,2900,2900
Mollinedia tomentosa,0,1800,1800
Monnina aestuans,0,2500,2500
Morella parvifolia,0,2200,2200
Morella pubescens,1100,3300,2200
Morisonia americana,1100,1100,0
Morisonia oblongifolia,0,1000,1000
Morus alba,0,1200,1200
Mosannona hypoglauca,0,0,0
Mouriri nigra,0,1000,1000
Muntingia calabura,300,3200,2900
Myrcia cucullata,0,0,0
