species,genus,region,range,genus_in_region
Curatella americana,Curatella,f.-15.-20,100,1
Cyathea andina,Cyathea,a.10.5,800,14
Cyathea andina,Cyathea,b.5.0,900,19
Cyathea andina,Cyathea,e.-10.-15,1300,19
Cyathea andina,Cyathea,f.-15.-20,400,10
Cyathea bipinnatifida,Cyathea,a.10.5,500,14
Cyathea bipinnatifida,Cyathea,b.5.0,1400,19
Cyathea bipinnatifida,Cyathea,c.0.-5,1700,18
Cyathea bipinnatifida,Cyathea,d.-5.-10,2500,13
Cyathea bipinnatifida,Cyathea,e.-10.-15,2800,19
Cyathea bipinnatifida,Cyathea,f.-15.-20,800,10
Cyathea caracasana,Cyathea,a.10.5,1600,14
Cyathea caracasana,Cyathea,b.5.0,2100,19
Cyathea caracasana,Cyathea,c.0.-5,1800,18
Cyathea caracasana,Cyathea,d.-5.-10,400,13
Cyathea caracasana,Cyathea,e.-10.-15,1400,19
Cyathea conjugata,Cyathea,a.10.5,1300,14
Cyathea conjugata,Cyathea,b.5.0,1300,19
Cyathea conjugata,Cyathea,c.0.-5,900,18
Cyathea conjugata,Cyathea,d.-5.-10,1000,13
Cyathea conjugata,Cyathea,e.-10.-15,2000,19
Cyathea conjugata,Cyathea,f.-15.-20,600,10
Cyathea delgadii,Cyathea,a.10.5,1300,14
Cyathea delgadii,Cyathea,b.5.0,1900,19
Cyathea delgadii,Cyathea,c.0.-5,2100,18
Cyathea delgadii,Cyathea,d.-5.-10,1900,13
Cyathea delgadii,Cyathea,e.-10.-15,2600,19
Cyathea delgadii,Cyathea,f.-15.-20,1800,10
Cyathea divergens,Cyathea,a.10.5,1200,14
Cyathea divergens,Cyathea,b.5.0,1100,19
Cyathea divergens,Cyathea,e.-10.-15,1300,19
Cyathea fulva,Cyathea,a.10.5,1200,14
Cyathea fulva,Cyathea,b.5.0,1500,19
Cyathea fulva,Cyathea,c.0.-5,1600,18
Cyathea kalbreyeri,Cyathea,a.10.5,600,14
Cyathea kalbreyeri,Cyathea,c.0.-5,400,18
Cyathea kalbreyeri,Cyathea,e.-10.-15,1200,19
Cyathea lechleri,Cyathea,b.5.0,1400,19
Cyathea lechleri,Cyathea,c.0.-5,1100,18
Cyathea lechleri,Cyathea,d.-5.-10,2200,13
Cyathea lechleri,Cyathea,e.-10.-15,2900,19
Cyathea lechleri,Cyathea,f.-15.-20,1100,10
Cyathea lindeniana,Cyathea,a.10.5,900,14
Cyathea lindeniana,Cyathea,b.5.0,1300,19
Cyathea lindeniana,Cyathea,d.-5.-10,1600,13
Cyathea lindeniana,Cyathea,e.-10.-15,1700,19
Cyathea meridensis,Cyathea,a.10.5,1800,14
Cyathea meridensis,Cyathea,b.5.0,1300,19
Cyathea meridensis,Cyathea,c.0.-5,1100,18
Cyathea meridensis,Cyathea,d.-5.-10,800,13
Cyathea meridensis,Cyathea,e.-10.-15,800,19
Cyathea multiflora,Cyathea,a.10.5,700,14
Cyathea multiflora,Cyathea,b.5.0,800,19
Cyathea multiflora,Cyathea,c.0.-5,1500,18
Cyathea multiflora,Cyathea,e.-10.-15,700,19
Cyathea multiflora,Cyathea,f.-15.-20,500,10
Cyathea pallescens,Cyathea,b.5.0,1500,19
Cyathea pallescens,Cyathea,c.0.-5,1700,18
Cyathea pallescens,Cyathea,d.-5.-10,500,13
Cyathea pallescens,Cyathea,e.-10.-15,700,19
Cyathea pallescens,Cyathea,f.-15.-20,1900,10
Cyathea pilosissima,Cyathea,a.10.5,400,14
Cyathea pilosissima,Cyathea,b.5.0,400,19
Cyathea pilosissima,Cyathea,c.0.-5,1600,18
Cyathea pilosissima,Cyathea,d.-5.-10,1400,13
Cyathea pilosissima,Cyathea,e.-10.-15,2200,19
Cyathea pungens,Cyathea,a.10.5,1200,14
Cyathea pungens,Cyathea,b.5.0,1400,19
Cyathea pungens,Cyathea,c.0.-5,1500,18
